初始化神经网络...
生成训练数据点...
开始训练神经网络...
开始优化...
Iter: 11900, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216113e-01, BC: 2.390422e-01)
Iter: 12000, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390417e-01)
Iter: 12100, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390418e-01)
Iter: 12200, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216114e-01, BC: 2.390423e-01)
Iter: 12300, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216116e-01, BC: 2.390428e-01)
Iter: 12400, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216111e-01, BC: 2.390418e-01)
Iter: 12500, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390418e-01)
Iter: 12600, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216114e-01, BC: 2.390422e-01)
Iter: 12700, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216106e-01, BC: 2.390414e-01)
Iter: 12800, Loss: 1.023413e+04 (PDE: 1.019807e+04, IC: 1.216112e-01, BC: 2.390434e-01)
训练完成！用时: 106.19 秒
最终损失: 1.023413e+04
生成预测结果...
